EmployeeID,Name,Age,Department,City,Salary,Experience,Rating
35,Employee_35,35,IT,Hyderabad,117778,20,2.6
36,Employee_36,25,IT,Vijayawada,34287,16,3.1
37,Employee_37,52,HR,Bangalore,42342,18,3.9
38,Employee_38,36,Finance,Chennai,49957,3,2.7
39,Employee_39,48,Sales,Chennai,78883,14,4.7
40,Employee_40,24,IT,Hyderabad,77772,10,4.5
41,Employee_41,27,HR,Guntur,49931,17,3.6
42,Employee_42,48,HR,Vijayawada,85637,7,4.7
43,Employee_43,25,Finance,Bangalore,37833,1,4.1
44,Employee_44,55,IT,Hyderabad,55982,5,3.5
45,Employee_45,51,HR,Chennai,32685,5,3.4
46,Employee_46,45,Sales,Chennai,62388,13,4.2
47,Employee_47,56,Finance,Guntur,49890,9,3.0
48,Employee_48,24,Marketing,Pune,96066,1,4.4
49,Employee_49,24,IT,Bangalore,87493,16,4.8
50,Employee_50,54,HR,Hyderabad,91562,2,4.6
51,Employee_51,25,Marketing,Hyderabad,113501,7,3.5
52,Employee_52,57,HR,Bangalore,102924,1,4.0
53,Employee_53,47,Marketing,Bangalore,93522,10,4.8
54,Employee_54,34,Sales,Guntur,59814,12,2.8
55,Employee_55,40,Finance,Vijayawada,34508,0,3.6
56,Employee_56,57,IT,Hyderabad,95468,6,3.8
57,Employee_57,29,Sales,Hyderabad,57018,11,3.2
58,Employee_58,49,Marketing,Pune,64651,19,5.0
59,Employee_59,54,IT,Pune,97692,9,4.8
60,Employee_60,27,HR,Vijayawada,40129,3,4.4
61,Employee_61,30,Sales,Vijayawada,104276,6,4.3
62,Employee_62,34,Sales,Bangalore,89032,8,4.8
63,Employee_63,24,IT,Pune,80518,8,2.6
64,Employee_64,42,HR,Pune,59335,5,4.4
65,Employee_65,56,Finance,Bangalore,26267,3,2.7
66,Employee_66,30,Marketing,Hyderabad,73393,18,3.9
67,Employee_67,48,HR,Hyderabad,65404,11,4.7
68,Employee_68,23,Sales,Guntur,114399,7,4.2
69,Employee_69,43,Marketing,Chennai,106351,4,4.8
70,Employee_70,36,HR,Guntur,79040,0,2.9
71,Employee_71,42,Finance,Pune,57527,8,2.9
72,Employee_72,27,Finance,Hyderabad,86694,7,3.0
73,Employee_73,50,Sales,Vijayawada,54831,7,2.6
74,Employee_74,33,Finance,Vijayawada,61517,2,4.9
75,Employee_75,38,Sales,Pune,91768,12,4.2
76,Employee_76,55,Sales,Hyderabad,40118,8,2.9
77,Employee_77,37,IT,Hyderabad,103193,13,3.4
78,Employee_78,41,Finance,Bangalore,92033,3,3.5
79,Employee_79,57,HR,Vijayawada,30817,13,2.5
80,Employee_80,55,HR,Vijayawada,81531,2,4.9
81,Employee_81,42,Marketing,Vijayawada,111951,3,4.3
82,Employee_82,40,Marketing,Vijayawada,112410,13,3.3
83,Employee_83,39,Marketing,Guntur,50144,13,4.2
84,Employee_84,45,HR,Bangalore,99593,9,3.5
85,Employee_85,21,Sales,Vijayawada,52549,13,4.5
86,Employee_86,59,Sales,Chennai,82905,14,4.2
87,Employee_87,53,Finance,Pune,47241,2,3.2
88,Employee_88,60,Sales,Hyderabad,55784,9,3.1
89,Employee_89,33,HR,Hyderabad,31057,7,5.0
90,Employee_90,60,IT,Chennai,79321,20,3.9
91,Employee_91,45,Finance,Chennai,56979,4,4.1
92,Employee_92,21,IT,Chennai,53683,5,4.5
93,Employee_93,54,Finance,Hyderabad,98060,7,4.8
94,Employee_94,28,Finance,Guntur,85901,16,5.0
95,Employee_95,59,Sales,Chennai,105301,16,3.6
96,Employee_96,56,Finance,Guntur,87216,14,3.1
97,Employee_97,36,Sales,Bangalore,88517,20,3.1
98,Employee_98,49,IT,Pune,62450,7,3.2
99,Employee_99,41,Marketing,Hyderabad,43136,4,3.1
100,Employee_100,30,HR,Hyderabad,79377,13,3.3
101,Employee_101,50,Finance,Hyderabad,52110,13,3.5
102,Employee_102,58,IT,Bangalore,74857,15,2.5
103,Employee_103,43,Sales,Chennai,79921,17,4.4
104,Employee_104,55,Marketing,Guntur,88993,7,3.2
105,Employee_105,52,IT,Chennai,69057,12,4.3
106,Employee_106,50,HR,Bangalore,95008,0,4.8
107,Employee_107,58,Marketing,Pune,28552,2,4.1
108,Employee_108,29,Finance,Guntur,31590,8,3.4
109,Employee_109,34,Finance,Vijayawada,69236,12,3.2
110,Employee_110,47,Sales,Hyderabad,86644,0,4.4
111,Employee_111,24,Sales,Guntur,110215,2,4.5
112,Employee_112,23,IT,Guntur,51130,0,4.1
113,Employee_113,36,HR,Chennai,112747,3,3.9
114,Employee_114,34,Finance,Pune,58586,11,2.9
115,Employee_115,59,IT,Guntur,65768,3,3.9
116,Employee_116,40,Marketing,Pune,74192,12,4.9
117,Employee_117,33,IT,Bangalore,115520,20,3.1
118,Employee_118,40,Marketing,Hyderabad,99177,1,3.4
119,Employee_119,48,Sales,Hyderabad,91317,20,3.4
120,Employee_120,47,Finance,Hyderabad,81822,11,4.1
121,Employee_121,50,HR,Chennai,48086,16,4.9
122,Employee_122,38,Marketing,Bangalore,88372,14,3.6
123,Employee_123,58,Sales,Vijayawada,57177,2,3.2
124,Employee_124,49,HR,Chennai,99691,19,4.2
125,Employee_125,42,IT,Chennai,67600,5,3.7
126,Employee_126,43,Sales,Vijayawada,61655,19,4.3
127,Employee_127,38,Marketing,Hyderabad,92715,6,2.7
128,Employee_128,47,Finance,Bangalore,56499,15,4.1
129,Employee_129,52,Finance,Hyderabad,37196,9,3.1
130,Employee_130,36,Sales,Pune,101225,11,3.7
131,Employee_131,54,Sales,Chennai,97140,10,3.4
132,Employee_132,50,Sales,Vijayawada,57951,7,2.8
133,Employee_133,33,Sales,Hyderabad,95236,5,3.0
134,Employee_134,51,Sales,Pune,102278,16,4.0
135,Employee_135,27,HR,Vijayawada,54816,11,2.9
136,Employee_136,21,Marketing,Guntur,60954,1,4.9
137,Employee_137,56,Sales,Pune,41551,20,4.7
138,Employee_138,52,IT,Hyderabad,100243,9,3.7
139,Employee_139,49,Sales,Guntur,31734,8,4.9
140,Employee_140,51,IT,Hyderabad,77521,15,2.7
141,Employee_141,24,HR,Guntur,98772,9,2.7
142,Employee_142,36,IT,Bangalore,79548,19,4.0
143,Employee_143,60,HR,Bangalore,74856,14,4.8
144,Employee_144,40,Marketing,Chennai,65026,18,4.1
145,Employee_145,60,IT,Guntur,106987,6,3.2
146,Employee_146,26,HR,Guntur,47782,17,2.7
147,Employee_147,21,Finance,Chennai,115357,19,3.7
148,Employee_148,23,HR,Vijayawada,117662,9,4.3
149,Employee_149,50,IT,Pune,55595,8,4.5
150,Employee_150,58,HR,Chennai,40043,17,3.1
151,Employee_151,30,Sales,Guntur,34359,1,2.9
152,Employee_152,40,Marketing,Pune,99607,9,3.6
153,Employee_153,50,Sales,Pune,77757,8,3.8
154,Employee_154,52,Finance,Hyderabad,103385,1,4.7
155,Employee_155,41,Marketing,Vijayawada,28390,2,3.1
156,Employee_156,57,Marketing,Hyderabad,113117,8,3.9
157,Employee_157,32,Finance,Bangalore,110394,14,4.8
158,Employee_158,32,Marketing,Chennai,108202,15,4.9
159,Employee_159,51,Sales,Chennai,68687,10,4.2
160,Employee_160,31,Sales,Chennai,115921,15,3.2
161,Employee_161,46,Marketing,Hyderabad,84614,2,3.3
162,Employee_162,41,IT,Chennai,92449,0,4.1
163,Employee_163,55,Finance,Chennai,32104,6,3.8
164,Employee_164,60,Finance,Pune,82939,1,3.0
165,Employee_165,56,HR,Vijayawada,82424,15,2.8
166,Employee_166,59,HR,Pune,45758,9,3.9
167,Employee_167,56,Finance,Hyderabad,54451,3,3.7
168,Employee_168,28,HR,Chennai,118926,9,3.8
169,Employee_169,38,Finance,Chennai,86894,7,3.6
170,Employee_170,30,Finance,Guntur,103561,16,4.4
171,Employee_171,29,IT,Vijayawada,79387,10,4.8
172,Employee_172,53,Sales,Hyderabad,62072,9,4.6
173,Employee_173,58,Finance,Guntur,83529,17,3.7
174,Employee_174,42,Marketing,Bangalore,74441,14,4.8
175,Employee_175,33,HR,Bangalore,75196,7,4.6
176,Employee_176,47,IT,Vijayawada,86993,12,3.5
177,Employee_177,30,Finance,Hyderabad,41547,16,4.9
178,Employee_178,42,IT,Chennai,38069,16,4.8
179,Employee_179,21,HR,Chennai,110823,4,2.7
180,Employee_180,37,Sales,Bangalore,115794,12,4.1
181,Employee_181,42,Marketing,Chennai,66505,20,4.3
182,Employee_182,52,Marketing,Hyderabad,105931,2,3.1
183,Employee_183,39,HR,Pune,36846,13,4.9
184,Employee_184,27,Finance,Guntur,115964,9,4.8
185,Employee_185,23,Sales,Hyderabad,63452,11,3.4
186,Employee_186,30,HR,Bangalore,79008,18,4.2
187,Employee_187,32,HR,Guntur,35350,19,4.7
188,Employee_188,60,HR,Chennai,101435,4,3.1
189,Employee_189,37,Finance,Vijayawada,112404,0,4.7
190,Employee_190,50,Sales,Pune,96643,5,2.7
191,Employee_191,43,Marketing,Vijayawada,108746,13,4.2
192,Employee_192,50,Sales,Guntur,75422,15,2.8
193,Employee_193,45,Marketing,Vijayawada,100341,9,5.0
194,Employee_194,39,IT,Pune,76879,8,2.5
195,Employee_195,24,Marketing,Pune,90107,9,4.4
196,Employee_196,35,Marketing,Vijayawada,53705,20,3.0
197,Employee_197,37,HR,Pune,37735,20,4.1
198,Employee_198,40,Finance,Hyderabad,100965,11,4.3
199,Employee_199,26,Sales,Vijayawada,79460,5,3.0
200,Employee_200,55,Sales,Bangalore,90771,8,4.6
201,Employee_201,37,Finance,Vijayawada,69396,3,3.7
202,Employee_202,25,HR,Guntur,113647,12,4.9
203,Employee_203,56,Sales,Hyderabad,76717,0,3.2
204,Employee_204,28,Finance,Vijayawada,113188,8,4.0
205,Employee_205,44,IT,Pune,55647,15,2.6
206,Employee_206,56,Sales,Bangalore,54015,20,2.7
207,Employee_207,50,Sales,Pune,78516,3,2.8
208,Employee_208,23,Sales,Chennai,40220,3,3.1
209,Employee_209,55,HR,Chennai,84459,11,4.2
210,Employee_210,55,Finance,Bangalore,45253,13,4.1
211,Employee_211,52,Marketing,Chennai,61666,1,4.2
212,Employee_212,34,Finance,Chennai,55947,11,2.7
213,Employee_213,44,Marketing,Pune,72012,1,3.5
214,Employee_214,33,IT,Chennai,37015,6,4.1
215,Employee_215,59,IT,Hyderabad,68713,7,5.0
216,Employee_216,57,HR,Hyderabad,97641,6,4.0
217,Employee_217,35,Sales,Guntur,103116,0,3.2
218,Employee_218,30,HR,Bangalore,57853,5,2.8
219,Employee_219,22,HR,Hyderabad,71955,7,4.0
220,Employee_220,22,HR,Vijayawada,31868,4,4.4
221,Employee_221,54,IT,Pune,33330,15,3.6
222,Employee_222,44,Marketing,Bangalore,39293,14,3.8
223,Employee_223,60,IT,Pune,111363,16,3.3
224,Employee_224,22,IT,Chennai,77640,13,4.2
225,Employee_225,52,Finance,Hyderabad,35589,10,4.0
226,Employee_226,25,HR,Vijayawada,106830,20,4.0
227,Employee_227,41,Finance,Bangalore,94541,9,3.6
228,Employee_228,59,Finance,Hyderabad,116983,3,4.6
229,Employee_229,56,HR,Chennai,84186,7,3.5
230,Employee_230,50,Finance,Chennai,37463,10,3.6
231,Employee_231,37,Sales,Guntur,115023,15,2.7
232,Employee_232,26,IT,Chennai,37656,11,4.5
233,Employee_233,56,IT,Bangalore,98608,17,3.3
234,Employee_234,28,Finance,Vijayawada,112207,13,4.7
235,Employee_235,24,Sales,Bangalore,65953,11,2.8
236,Employee_236,53,HR,Guntur,111079,15,3.1
237,Employee_237,27,Sales,Bangalore,73176,3,4.4
238,Employee_238,57,HR,Chennai,98526,19,4.0
239,Employee_239,56,IT,Bangalore,111223,8,2.6
240,Employee_240,38,Sales,Vijayawada,71009,0,3.0
241,Employee_241,30,Marketing,Pune,77531,2,2.9
242,Employee_242,22,IT,Pune,94531,6,3.4
243,Employee_243,50,Sales,Guntur,73503,9,4.3
244,Employee_244,57,Marketing,Hyderabad,31895,4,2.9
245,Employee_245,60,IT,Pune,35693,8,3.6
246,Employee_246,48,Finance,Bangalore,82939,13,3.2
247,Employee_247,53,IT,Vijayawada,81349,3,3.2
248,Employee_248,58,Finance,Bangalore,112442,9,2.6
249,Employee_249,46,Marketing,Hyderabad,26007,6,3.3
250,Employee_250,34,HR,Vijayawada,62938,10,2.8
251,Employee_251,52,Finance,Guntur,41932,12,3.8
252,Employee_252,35,Marketing,Bangalore,112562,11,2.7
253,Employee_253,23,Finance,Hyderabad,85260,2,4.7
254,Employee_254,57,Finance,Bangalore,78008,20,3.5
255,Employee_255,28,Finance,Hyderabad,67568,5,4.5
256,Employee_256,60,Finance,Pune,72428,2,3.6
257,Employee_257,27,HR,Chennai,102184,12,3.8
258,Employee_258,46,Sales,Pune,69500,7,3.3
259,Employee_259,31,IT,Bangalore,107998,3,3.8
260,Employee_260,33,Sales,Vijayawada,109599,4,3.1
261,Employee_261,30,Sales,Guntur,47740,19,2.9
262,Employee_262,25,HR,Pune,89764,14,4.4
263,Employee_263,58,Finance,Pune,98989,20,4.1
264,Employee_264,60,Sales,Pune,66436,4,3.6
265,Employee_265,51,Finance,Pune,64691,8,4.0
266,Employee_266,43,Marketing,Hyderabad,65685,14,3.6
267,Employee_267,24,Sales,Vijayawada,35057,20,4.7
268,Employee_268,26,Marketing,Bangalore,91462,12,3.7
269,Employee_269,56,IT,Chennai,99928,20,3.0
270,Employee_270,59,Finance,Bangalore,44773,1,3.6
271,Employee_271,42,IT,Bangalore,109689,5,2.6
272,Employee_272,49,Finance,Bangalore,93517,19,2.9
273,Employee_273,44,Sales,Chennai,78578,10,4.2
274,Employee_274,24,Sales,Hyderabad,68213,3,3.9
275,Employee_275,45,Sales,Vijayawada,119861,19,4.7
276,Employee_276,42,IT,Bangalore,111980,4,4.8
277,Employee_277,40,Finance,Guntur,102993,2,3.3
278,Employee_278,45,Sales,Guntur,112833,16,2.7
279,Employee_279,48,Marketing,Vijayawada,27389,11,3.3
280,Employee_280,34,Sales,Chennai,50166,7,5.0
281,Employee_281,30,IT,Vijayawada,38256,16,4.4
282,Employee_282,54,IT,Pune,69140,19,2.8
283,Employee_283,45,HR,Guntur,48703,19,4.5
284,Employee_284,31,Finance,Hyderabad,78852,11,4.2
285,Employee_285,36,Finance,Bangalore,62346,14,3.1
286,Employee_286,36,Sales,Chennai,50430,11,4.2
287,Employee_287,57,Finance,Chennai,61932,12,3.8
288,Employee_288,47,HR,Guntur,104254,4,4.7
289,Employee_289,24,Finance,Vijayawada,97684,3,4.3
290,Employee_290,54,IT,Vijayawada,35993,5,3.2
291,Employee_291,53,HR,Chennai,37021,7,4.5
292,Employee_292,43,IT,Chennai,31980,12,3.8
293,Employee_293,36,Finance,Hyderabad,74140,7,2.6
294,Employee_294,27,Sales,Guntur,43035,1,3.2
295,Employee_295,51,HR,Pune,86487,14,4.0
296,Employee_296,26,IT,Vijayawada,53266,4,3.9
297,Employee_297,59,Marketing,Chennai,39573,9,3.1
298,Employee_298,28,IT,Guntur,80027,20,4.5
299,Employee_299,50,IT,Hyderabad,90513,19,3.8
300,Employee_300,53,Marketing,Guntur,119181,4,3.2
301,Employee_301,21,Marketing,Vijayawada,56531,18,3.5
302,Employee_302,26,Marketing,Vijayawada,33870,16,3.9
303,Employee_303,53,Marketing,Hyderabad,76177,15,2.6
304,Employee_304,45,Sales,Vijayawada,27128,11,4.5
305,Employee_305,43,HR,Pune,111127,20,2.8
306,Employee_306,58,Sales,Guntur,30811,11,3.9
307,Employee_307,32,Finance,Pune,87722,20,3.0
308,Employee_308,29,IT,Pune,84988,1,3.2
309,Employee_309,23,HR,Hyderabad,66365,9,3.8
310,Employee_310,55,Finance,Vijayawada,29799,20,3.0
311,Employee_311,43,IT,Pune,68506,8,2.8
312,Employee_312,44,Finance,Chennai,82637,12,3.3
313,Employee_313,32,Finance,Pune,90211,11,4.8
314,Employee_314,54,Sales,Hyderabad,80640,2,3.6
315,Employee_315,32,Marketing,Vijayawada,67101,3,2.7
316,Employee_316,39,Sales,Chennai,103986,13,2.9
317,Employee_317,49,Sales,Chennai,30551,11,4.0
318,Employee_318,48,Sales,Pune,32518,2,4.2
319,Employee_319,46,Sales,Bangalore,114051,5,4.9
320,Employee_320,30,Marketing,Pune,82432,1,2.8
321,Employee_321,36,Sales,Vijayawada,75181,18,2.6
322,Employee_322,30,Finance,Vijayawada,73760,14,4.4
323,Employee_323,57,HR,Bangalore,73096,12,3.3
324,Employee_324,38,HR,Hyderabad,28396,5,3.7
325,Employee_325,45,Marketing,Hyderabad,59311,8,4.3
326,Employee_326,34,Marketing,Vijayawada,115961,15,3.0
327,Employee_327,29,IT,Chennai,47630,14,5.0
328,Employee_328,41,Sales,Pune,33511,17,3.9
329,Employee_329,40,HR,Pune,118003,20,2.9
330,Employee_330,44,Marketing,Guntur,40907,6,4.5
331,Employee_331,36,Finance,Hyderabad,72303,17,3.9
332,Employee_332,50,Marketing,Guntur,105209,2,2.7
333,Employee_333,46,Finance,Bangalore,78843,13,4.6
334,Employee_334,25,HR,Vijayawada,109192,2,3.6
335,Employee_335,54,Sales,Guntur,97260,20,4.0
336,Employee_336,29,Finance,Bangalore,32263,3,3.8
337,Employee_337,40,HR,Guntur,67291,7,3.4
338,Employee_338,54,Sales,Hyderabad,57847,6,4.1
339,Employee_339,56,Sales,Guntur,106922,9,4.0
340,Employee_340,26,Marketing,Pune,47103,18,4.9
341,Employee_341,30,HR,Pune,106851,19,3.3
342,Employee_342,57,IT,Hyderabad,35646,1,4.9
343,Employee_343,57,Sales,Pune,52631,18,3.5
344,Employee_344,22,Finance,Pune,96509,9,4.1
345,Employee_345,40,Finance,Guntur,114783,12,3.2
346,Employee_346,25,IT,Guntur,82619,13,3.7
347,Employee_347,34,Sales,Bangalore,43830,10,4.7
348,Employee_348,41,Sales,Chennai,42139,11,3.8
349,Employee_349,27,Sales,Guntur,86141,3,3.2
350,Employee_350,36,HR,Hyderabad,31632,9,4.9
351,Employee_351,60,Finance,Guntur,45932,10,4.8
352,Employee_352,41,HR,Guntur,90308,16,3.7
353,Employee_353,40,Finance,Hyderabad,36802,12,3.8
354,Employee_354,36,HR,Bangalore,71254,1,2.6
355,Employee_355,52,Marketing,Pune,113148,15,3.2
356,Employee_356,21,IT,Chennai,42555,8,4.3
357,Employee_357,46,Sales,Hyderabad,77505,1,3.9
358,Employee_358,33,Sales,Bangalore,62827,2,3.5
359,Employee_359,49,Marketing,Vijayawada,106689,19,2.8
360,Employee_360,27,Finance,Vijayawada,69444,17,4.8
361,Employee_361,30,HR,Bangalore,91731,12,3.8
362,Employee_362,23,IT,Guntur,118531,10,4.5
363,Employee_363,54,Finance,Guntur,104463,16,2.8
364,Employee_364,60,Sales,Guntur,76505,19,4.3
365,Employee_365,40,Marketing,Vijayawada,91494,16,3.8
366,Employee_366,57,Sales,Chennai,27180,11,3.3
367,Employee_367,28,Finance,Bangalore,65327,20,2.6
368,Employee_368,51,Sales,Pune,100821,18,3.1
369,Employee_369,24,Marketing,Chennai,47349,16,4.1
370,Employee_370,60,Finance,Guntur,114224,7,2.6
371,Employee_371,28,HR,Hyderabad,82807,10,3.5
372,Employee_372,47,HR,Chennai,90774,19,4.8
373,Employee_373,24,HR,Bangalore,52176,17,3.3
374,Employee_374,51,Marketing,Chennai,66124,5,3.6
375,Employee_375,55,Sales,Bangalore,71437,20,4.5
376,Employee_376,37,Marketing,Chennai,50200,7,3.2
377,Employee_377,40,HR,Vijayawada,62880,6,4.2
378,Employee_378,52,Sales,Chennai,70718,17,4.8
379,Employee_379,38,Sales,Hyderabad,100166,17,3.4
380,Employee_380,46,Sales,Guntur,63070,1,3.2
381,Employee_381,26,Sales,Chennai,110979,8,4.4
382,Employee_382,34,HR,Bangalore,60537,17,4.2
383,Employee_383,29,IT,Bangalore,101917,7,3.1
384,Employee_384,54,HR,Pune,55518,1,2.8
385,Employee_385,42,Finance,Hyderabad,114285,4,2.5
386,Employee_386,56,HR,Chennai,110575,15,3.7
387,Employee_387,33,Sales,Vijayawada,62409,20,2.6
388,Employee_388,26,Marketing,Guntur,95143,1,4.8
389,Employee_389,32,Finance,Guntur,29763,12,4.5
390,Employee_390,32,Sales,Hyderabad,26214,9,3.9
391,Employee_391,27,Sales,Vijayawada,84552,20,3.9
392,Employee_392,52,HR,Bangalore,86344,8,3.0
393,Employee_393,28,Sales,Guntur,85150,20,3.1
394,Employee_394,32,IT,Pune,69185,9,3.9
395,Employee_395,33,HR,Bangalore,108719,12,4.6
396,Employee_396,53,Sales,Hyderabad,77538,3,3.0
397,Employee_397,29,Finance,Vijayawada,57512,0,3.2
398,Employee_398,36,Finance,Vijayawada,68204,9,4.0
399,Employee_399,57,IT,Vijayawada,110679,11,4.2
400,Employee_400,24,IT,Chennai,65213,5,3.5
401,Employee_401,53,Sales,Pune,40389,20,4.8
402,Employee_402,39,Sales,Bangalore,53947,7,4.9
403,Employee_403,51,HR,Chennai,104395,11,3.5
404,Employee_404,56,Finance,Bangalore,112044,6,4.4
405,Employee_405,59,IT,Bangalore,83556,16,4.3
406,Employee_406,25,Marketing,Hyderabad,33094,17,4.8
407,Employee_407,33,Marketing,Bangalore,44641,5,3.3
408,Employee_408,54,Finance,Hyderabad,114167,6,4.3
409,Employee_409,52,IT,Bangalore,83390,1,3.6
410,Employee_410,53,Finance,Chennai,98912,1,3.9
411,Employee_411,40,IT,Chennai,58352,0,4.4
412,Employee_412,58,IT,Hyderabad,80534,11,4.3
413,Employee_413,55,IT,Hyderabad,86875,1,3.2
414,Employee_414,32,HR,Pune,109656,13,3.4
415,Employee_415,45,Finance,Chennai,74236,2,4.2
416,Employee_416,55,HR,Pune,70582,3,2.9
417,Employee_417,55,Finance,Bangalore,41691,7,4.6
418,Employee_418,22,Sales,Chennai,113276,17,3.6
419,Employee_419,45,HR,Guntur,85375,11,2.9
420,Employee_420,33,IT,Hyderabad,111533,13,4.0
421,Employee_421,22,HR,Guntur,33819,3,4.0
422,Employee_422,49,Marketing,Pune,117181,1,3.1
423,Employee_423,23,Finance,Chennai,55715,17,3.0
424,Employee_424,24,HR,Bangalore,62914,7,4.5
425,Employee_425,57,Sales,Bangalore,103370,10,3.1
426,Employee_426,30,Marketing,Guntur,79206,9,3.2
427,Employee_427,56,Marketing,Pune,47955,20,4.2
428,Employee_428,56,Finance,Hyderabad,70143,20,4.2
429,Employee_429,54,Sales,Pune,79568,13,2.9
430,Employee_430,45,HR,Bangalore,87065,7,4.6
431,Employee_431,40,HR,Chennai,32552,17,3.5
432,Employee_432,47,Marketing,Bangalore,42575,12,3.1
433,Employee_433,34,Sales,Pune,35363,14,4.6
434,Employee_434,26,Marketing,Pune,49966,1,3.2
435,Employee_435,59,Marketing,Hyderabad,34539,6,4.5
436,Employee_436,58,Marketing,Guntur,87835,6,4.7
437,Employee_437,42,Sales,Hyderabad,52762,6,4.9
438,Employee_438,28,Finance,Guntur,116177,19,4.3
439,Employee_439,46,HR,Bangalore,67154,9,3.5
440,Employee_440,55,Sales,Vijayawada,59283,11,3.8
441,Employee_441,52,Finance,Hyderabad,119688,15,4.4
442,Employee_442,41,HR,Vijayawada,66015,13,2.6
443,Employee_443,35,HR,Hyderabad,59180,17,4.8
444,Employee_444,58,Finance,Vijayawada,44976,6,3.3
445,Employee_445,45,Marketing,Guntur,90444,17,4.1
446,Employee_446,42,Sales,Chennai,119838,20,4.3
447,Employee_447,50,HR,Pune,71160,5,2.8
448,Employee_448,55,Finance,Guntur,96058,20,4.9
449,Employee_449,54,IT,Hyderabad,112584,1,4.4
450,Employee_450,47,HR,Pune,55334,2,4.3
451,Employee_451,21,HR,Bangalore,84770,11,2.7
452,Employee_452,60,Finance,Pune,88944,0,2.5
453,Employee_453,56,Finance,Hyderabad,27192,16,4.3
454,Employee_454,55,Sales,Hyderabad,90826,13,4.5
455,Employee_455,32,IT,Hyderabad,93732,4,3.1
456,Employee_456,60,Marketing,Vijayawada,71457,8,4.5
457,Employee_457,26,Sales,Chennai,85161,18,3.1
458,Employee_458,35,Sales,Pune,35566,20,5.0
459,Employee_459,23,IT,Chennai,74710,12,3.9
460,Employee_460,24,IT,Pune,47463,2,3.7
461,Employee_461,48,Sales,Bangalore,37499,16,4.8
462,Employee_462,35,HR,Pune,99289,15,3.2
463,Employee_463,25,Sales,Bangalore,98860,1,2.9
464,Employee_464,41,IT,Guntur,101943,4,4.4
465,Employee_465,46,IT,Vijayawada,46292,18,3.1
466,Employee_466,45,Marketing,Vijayawada,75311,4,4.5
467,Employee_467,26,Marketing,Pune,70332,1,2.7
468,Employee_468,35,IT,Vijayawada,104320,19,4.9
469,Employee_469,46,Sales,Hyderabad,108115,8,4.5
470,Employee_470,49,Finance,Guntur,71636,17,4.9
471,Employee_471,48,HR,Pune,101791,12,2.7
472,Employee_472,60,Sales,Guntur,118468,2,2.7
473,Employee_473,30,Finance,Pune,108086,4,4.3
474,Employee_474,41,Sales,Hyderabad,36995,0,4.9
475,Employee_475,49,Sales,Vijayawada,38399,4,2.7
476,Employee_476,48,Finance,Bangalore,97710,16,3.5
477,Employee_477,22,IT,Vijayawada,97642,2,4.0
478,Employee_478,41,Finance,Hyderabad,63253,13,3.5
479,Employee_479,26,Marketing,Guntur,99967,16,2.9
480,Employee_480,45,HR,Guntur,60247,9,3.2
481,Employee_481,30,IT,Guntur,81973,8,3.6
482,Employee_482,51,IT,Vijayawada,57990,7,4.3
483,Employee_483,52,Marketing,Bangalore,50630,14,2.8
484,Employee_484,40,IT,Chennai,68544,19,3.4
485,Employee_485,42,Finance,Vijayawada,81441,20,4.9
486,Employee_486,29,Sales,Vijayawada,104064,6,3.7
487,Employee_487,32,Finance,Vijayawada,63200,20,3.7
488,Employee_488,57,HR,Vijayawada,74290,8,4.5
489,Employee_489,46,Sales,Hyderabad,98905,6,4.0
